NAME,LATITUDE,LONGITUDE,DATE,DT32,DX90,TAVG
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2007,11,209,79.2
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2008,4,200,78.7
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2009,9,194,77
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2010,7,183,77.1
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2011,11,190,76.7
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2012,3,200,79.6
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2013,10,202,78.9
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2014,2,214,79.8
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2015,11,214,78.8
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2016,8,206,79.2
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2017,0,208,80
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1980,195,4,47.9
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1981,191,12,48.8
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1983,200,2,47.2
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1985,199,15,45.9
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1986,197,3,47.2
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1987,178,0,45.6
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1988,198,4,46.3
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1990,188,13,46.9
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1991,195,3,47
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1992,159,5,46.7
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1993,192,8,46.1
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1995,207,20,47.9
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1999,199,,
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1998,238,18,45.9
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1999,241,5,46.4
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1988,237,7,45.6
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1990,229,14,44.8
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1991,240,5,44.9
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1992,210,3,45.5
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1994,218,25,46
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1995,233,16,46.5
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1996,221,20,47.2
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1997,212,6,46.3
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1999,236,6,47
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2000,173,,
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2001,175,,
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2002,188,,
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2003,173,,
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2004,171,8,48.7
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2005,175,20,50.2
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2007,171,35,50.8
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2008,191,,
"GRAND CANYON NATIONAL PARK, AZ US",36.0597,-112.1098,2012,113,3,52.4
"GRAND CANYON NATIONAL PARK, AZ US",36.0597,-112.1098,2014,107,2,52.2
"GRAND CANYON NATIONAL PARK, AZ US",36.0597,-112.1098,2015,106,5,51.3
"GRAND CANYON NATIONAL PARK, AZ US",36.0597,-112.1098,2016,94,12,51.7
"GRAND CANYON NATIONAL PARK, AZ US",36.0597,-112.1098,2017,98,10,52.9
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1980,161,13,48.8
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1981,153,23,50.1
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1982,171,6,46.2
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1983,164,3,47.6
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1984,188,4,47
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1985,163,13,48
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1986,142,14,49.9
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1988,153,16,49.3
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1989,144,15,49.1
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1990,143,20,48.6
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1991,173,6,48.2
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1993,172,1,47.3
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1994,160,30,49.7
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1996,148,19,50.6
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1999,,5,
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,2000,158,23,49.8
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,2001,160,16,49.6
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,2002,160,32,48.4
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,2003,159,34,49.9
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,2004,151,4,47.9
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,2005,154,12,48
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,2006,164,11,48.1
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,2008,164,9,47.2
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,2010,168,5,46.6
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,2011,178,5,45.8
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,2012,141,6,49.2
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,2013,169,8,45.7
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,2015,137,10,49.5
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,2016,144,16,49.1
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,2017,141,8,49.3
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1980,199,1,45.3
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1981,183,1,45.5
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1982,207,3,43.1
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1983,207,0,42.7
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1984,199,0,41.9
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1985,,0,
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1986,,0,
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1989,189,6,44.9
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1990,190,8,44.4
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1992,181,0,41.6
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1993,192,0,42.4
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1994,186,1,44.5
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1995,202,0,44.7
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1996,185,0,45.1
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1997,187,0,43.1
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1998,185,3,43.8
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1999,200,0,45.3
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2000,185,0,45.9
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2001,181,1,45.1
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2002,184,2,45.1
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2003,174,6,45.9
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2004,180,0,44.1
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2005,186,3,45.1
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2007,187,0,43.8
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2008,197,0,42.9
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2009,183,0,43.7
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2010,180,1,45
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2011,197,0,44.3
